"","adm2_code","mean","date"
"1","77364",34.7854137119682,2024-10-01
"2","77317",20.6917853986929,2024-10-01
"3","77364",32.4372055881601,2024-10-02
"4","77317",9.96694961625073,2024-10-02
"5","77364",34.820816595058,2024-10-03
"6","77317",30.461575912428,2024-10-03
"7","77364",31.5408260910984,2024-10-04
"8","77317",31.1154003416217,2024-10-04
"9","77364",37.4798628631786,2024-10-05
"10","77317",29.2709727262247,2024-10-05
"11","77364",38.7342211039784,2024-10-06
"12","77317",32.3916289293041,2024-10-06
"13","77364",35.1594314819445,2024-10-07
"14","77317",31.7438560566539,2024-10-07
"15","77364",37.9433655092704,2024-10-08
"16","77317",27.1025997707247,2024-10-08
"17","77317",24.9786571933393,2024-10-09
"18","77364",35.6554972851909,2024-10-10
"19","77317",10.5080428056271,2024-10-10
"20","77364",43.4083721421955,2024-10-12
"21","77317",27.9691738508504,2024-10-12
"22","77364",43.9385550201418,2024-10-13
"23","77317",26.352477090034,2024-10-13
"24","77364",30.8780603740088,2024-10-14
"25","77317",26.2116038616532,2024-10-14
"26","77364",35.4556104749483,2024-10-15
"27","77317",31.5798148509353,2024-10-15
"28","77364",28.7970915997539,2024-10-16
"29","77317",31.990577312176,2024-10-16
"30","77364",35.0076014995636,2024-10-17
"31","77317",26.0645588694872,2024-10-17
"32","77364",36.5590006742159,2024-10-18
"33","77317",25.5850490380663,2024-10-18
"34","77317",26.1219768967908,2024-10-19
"35","77317",22.5446790183783,2024-10-20
"36","77364",27.5815226719482,2024-10-21
"37","77317",29.6220522984,2024-10-21
"38","77364",28.5912807653149,2024-10-22
"39","77317",29.9550803919788,2024-10-22
"40","77364",40.4713787543835,2024-10-23
"41","77317",37.3594960956815,2024-10-23
"42","77364",31.58549061748,2024-10-24
"43","77317",30.9748844776328,2024-10-24
"44","77364",42.7580735544465,2024-10-25
"45","77317",26.6563253068477,2024-10-25
"46","77364",33.6504596860803,2024-10-26
"47","77317",27.8092532387445,2024-10-26
"48","77364",31.0508847823195,2024-10-27
